time,open,high,low,close,volume
2022-03-24 13:00:00,56.95,57.1,56.83,57.08,21888
2022-03-24 12:00:00,56.85,57.04,56.525,57.0,42559
2022-03-24 11:00:00,56.69,57.0,56.23,56.79,32191
2022-03-24 10:00:00,56.79,56.9,56.48,56.71,8489
2022-03-23 17:00:00,56.94,56.94,56.94,56.94,2715
2022-03-23 16:00:00,56.93,57.2,56.79,56.94,38647
2022-03-23 15:00:00,57.15,57.22,56.85,56.85,13393
2022-03-23 14:00:00,57.41,57.48,57.09,57.19,13326
2022-03-23 13:00:00,57.78,57.78,57.3635,57.48,6526
2022-03-23 12:00:00,57.56,57.865,57.31,57.77,6598
2022-03-23 11:00:00,56.91,57.43,56.91,57.3281,3618
2022-03-23 10:00:00,57.32,57.32,56.71,56.71,2341
2022-03-22 17:00:00,57.95,57.95,57.95,57.95,858
2022-03-22 16:00:00,57.5,57.95,57.485,57.95,60250
2022-03-22 15:00:00,57.7,57.81,57.44,57.59,20108
2022-03-22 14:00:00,57.55,57.64,57.37,57.64,15342
2022-03-22 13:00:00,57.32,57.68,57.15,57.53,14961
2022-03-22 12:00:00,57.81,57.81,57.05,57.43,11818
2022-03-22 11:00:00,58.44,58.44,57.57,57.71,4326
2022-03-22 10:00:00,58.61,58.65,58.49,58.49,145509
2022-03-21 17:00:00,58.39,58.39,58.39,58.39,2999
2022-03-21 16:00:00,58.2,58.55,58.2,58.39,58203
2022-03-21 15:00:00,58.6,58.68,58.28,58.28,15819
2022-03-21 14:00:00,58.34,58.595,58.23,58.595,16891
2022-03-21 13:00:00,58.6,58.645,58.215,58.37,19072
2022-03-21 12:00:00,58.56,58.7,58.3,58.7,9826
2022-03-21 11:00:00,58.24,59.1,58.06,58.58,52833
2022-03-21 10:00:00,57.35,58.39,57.35,58.24,4927
2022-03-18 17:00:00,57.48,57.48,57.48,57.48,2678
2022-03-18 16:00:00,57.555,57.685,57.36,57.46,66824
2022-03-18 15:00:00,57.57,57.82,57.515,57.58,14891
2022-03-18 14:00:00,57.725,57.77,57.44,57.57,10666
2022-03-18 13:00:00,57.02,57.77,57.02,57.735,11130
2022-03-18 12:00:00,57.285,57.3,56.955,57.08,13103
2022-03-18 11:00:00,57.45,57.905,57.23,57.23,10220
2022-03-18 10:00:00,58.01,58.01,57.11,57.555,76701
2022-03-17 17:00:00,57.98,57.98,57.98,57.98,2089
2022-03-17 16:00:00,58.34,58.42,57.91,58.01,65360
2022-03-17 15:00:00,58.37,58.45,58.26,58.33,17757
2022-03-17 14:00:00,58.64,58.675,58.15,58.29,14598
2022-03-17 13:00:00,58.54,58.605,58.23,58.605,19826
2022-03-17 12:00:00,58.3,58.5,58.0958,58.5,14412
2022-03-17 11:00:00,57.79,58.326,57.72,58.26,12665
2022-03-17 10:00:00,57.62,58.28,57.62,57.79,9162
2022-03-16 17:00:00,58.26,58.26,58.26,58.26,3633
2022-03-16 16:00:00,58.33,58.79,58.07,58.22,194069
2022-03-16 15:00:00,58.0579,58.58,57.56,58.245,44802
2022-03-16 14:00:00,58.52,58.58,58.02,58.22,25333
2022-03-16 13:00:00,57.94,58.58,57.89,58.52,37138
2022-03-16 12:00:00,58.0,58.323,57.87,57.91,38640
2022-03-16 11:00:00,57.96,58.514,57.83,58.06,53912
2022-03-16 10:00:00,57.44,58.53,57.44,58.0,17711
2022-03-15 17:00:00,57.06,57.06,57.06,57.06,5117
2022-03-15 16:00:00,56.804,57.11,56.6,57.07,69033
2022-03-15 15:00:00,56.36,56.836,56.28,56.78,26953
2022-03-15 14:00:00,56.23,56.48,56.15,56.38,14704
2022-03-15 13:00:00,55.72,56.454,55.69,56.16,26133
2022-03-15 12:00:00,56.96,57.21,55.75,55.76,20846
2022-03-15 11:00:00,57.21,57.316,56.57,56.99,29475
2022-03-15 10:00:00,57.44,57.71,56.89,57.12,8818
2022-03-14 17:00:00,57.29,57.29,57.29,57.29,10764
2022-03-14 16:00:00,57.4,57.53,57.19,57.21,96710
2022-03-14 15:00:00,57.34,57.35,57.05,57.345,23062
2022-03-14 14:00:00,57.75,57.75,57.265,57.31,33742
2022-03-14 13:00:00,57.41,57.79,57.36,57.77,19645
2022-03-14 12:00:00,57.75,57.8,57.3,57.45,26015
2022-03-14 11:00:00,57.37,57.88,57.35,57.74,22817
2022-03-14 10:00:00,57.71,57.78,57.34,57.39,17609
2022-03-11 17:00:00,57.51,57.51,57.51,57.51,2802
2022-03-11 16:00:00,57.7,57.82,57.42,57.49,73994
2022-03-11 15:00:00,57.18,57.8158,57.18,57.7891,21184
2022-03-11 14:00:00,57.33,57.49,57.135,57.31,13402
2022-03-11 13:00:00,57.3,57.34,57.01,57.305,19899
2022-03-11 12:00:00,57.05,57.5825,56.99,57.3,30653
2022-03-11 11:00:00,57.985,57.985,56.81,57.1,17307
2022-03-11 10:00:00,57.8,58.51,57.77,57.98,213526
2022-03-10 17:00:00,57.79,57.79,57.79,57.79,1517
2022-03-10 16:00:00,57.17,57.82,57.08,57.81,85589
2022-03-10 15:00:00,56.51,57.28,56.5,57.15,27155
2022-03-10 14:00:00,56.0,56.69,55.96,56.54,18736
2022-03-10 13:00:00,55.79,56.36,55.78,55.995,21627
2022-03-10 12:00:00,55.7177,55.78,55.3,55.72,28097
2022-03-10 11:00:00,56.89,57.0,55.59,55.67,31623
2022-03-10 10:00:00,56.28,57.08,56.13,56.93,19473
2022-03-09 17:00:00,57.34,57.34,57.34,57.34,5073
2022-03-09 16:00:00,57.0,57.735,57.0,57.41,83022
2022-03-09 15:00:00,56.835,57.3,56.8,57.13,17599
2022-03-09 14:00:00,56.8,56.93,56.47,56.87,16504
2022-03-09 13:00:00,57.365,57.74,56.89,56.95,99845
2022-03-09 12:00:00,56.865,57.32,56.73,57.32,16886
2022-03-09 11:00:00,56.84,57.23,56.75,56.95,28656
2022-03-09 10:00:00,56.91,57.21,56.35,56.79,16960
